,Player,Year,Salaries,Status,Z-Score Salary
369,Tim Duncan,2003,12072500,WAKE,-0.7173235912821498
370,Baron Davis,2003,3942922,UCLA,-0.7572720123279179
371,Richard Jefferson,2003,1482840,ARIZONA,-1.11487072065466
372,Corey Maggette,2003,2069764,DUKE,-1.7412836798447149
373,Mike Bibby,2003,8500000,ARIZONA,-0.12217390452534907
374,Shawn Marion,2003,2265375,UNLV,-1.0253677868857445
375,Jason Richardson,2003,2607360,MICHIGANST,-1.0657507459393367
376,Shaquille O'Neal,2003,23571429,LSU,0.44146547861068725
377,Eddie Jones,2003,11212500,TEMPLE,-0.14474738877840948
378,Shareef Abdur-Rahim,2003,12375000,CALIFORNIA,0.4743027446560579
379,Jamal Crawford,2003,2026680,MICHIGAN,-1.2310054451205468
380,Juwan Howard,2003,20625000,MICHIGAN,1.2079973865077298
381,Latrell Sprewell,2003,12375000,ALABAMA,0.3872983346207417
382,Richard Hamilton,2003,2681783,UCONN,-1.0095404955510268
383,Lamar Odom,2003,3557585,RHODEISLE,-1.3287001809100125
384,Joe Johnson,2003,1729560,ARKANSAS,-1.4902411992776414
385,Jason Terry,2003,2153934,ARIZONA,-1.1463391213054035
386,Michael Finley,2003,11953125,WISCONSIN,-0.6122189975319142
387,Metta World Peace,2003,1904860,STJOHNS,-1.1265517166636314
388,Chauncey Billups,2003,4546000,COLORADO,-0.5735026714346831
389,Steve Francis,2003,4383581,MARYLAND,-0.5509993551305309
390,Cuttino Mobley,2003,4903750,RHODEISLE,-0.5210474221013642
391,Andre Miller,2003,2460709,UTAH,-1.2307088792394598
392,Antawn Jamison,2003,10067750,UNC,-0.08964779788657791
393,Donyell Marshall,2003,5186542,UCONN,-0.25003198033597934
394,Gary Payton,2003,12636117,OREGONST,0.8550456579586109
395,Desmond Mason,2003,1235880,OKSTATE,-0.6758679247067396
396,Carlos Boozer,2003,349458,DUKE,-2.517086342408569
397,Keith Van Horn,2003,12072500,UTAH,0.9215961524571208
398,Antoine Walker,2003,12375000,KENTUCKY,0.473107458545176
399,Ricky Davis,2003,4546000,IOWA,0.1398712895010273
400,Steve Nash,2003,5750000,SANTACLARA,-1.0105131633232654
401,James Posey,2003,1723606,XAVIER,-0.7557969565111368
402,Jamaal Magloire,2003,1121280,KENTUCKY,-0.7123953782392757
403,Damon Stoudamire,2003,12375000,ARIZONA,0.7833494518006402
404,Rasheed Wallace,2003,16200000,UNC,1.3512134496147707
405,Kenyon Martin,2003,4067160,CINCY,-0.6533526586773177
406,Kerry Kittles,2003,8966667,VILLANOVA,1.0918682507323347
407,Voshon Lenard,2003,824935,MINNESOTA,-0.7071067811865476
408,Jason Kidd,2003,9265000,CALIFORNIA,-0.6941386989740234
409,Jim Jackson,2003,791341,OHIOST,-0.5760160818026734
410,Brad Miller,2003,4800000,PURDUE,-0.8732051778566401
411,Kenny Thomas,2003,1557684,NMEXICO,-0.4340225228275341
412,Cliff Robinson,2003,8421875,USC,1.347293934466305
413,Raja Bell,2003,612435,FLINTERNAT,-0.8283664759863468
414,Drew Gooden,2003,2794920,KANSAS,-0.8747786737182699
415,Erick Dampier,2003,6858500,MISSST,-0.6114904310374358
