,Player,Year,Status,Points Per Game,Assists Per Game,Rebounds Per Game,Goals Made Per Game
213,Lamond Murray,2001,Professional,16.56338028169014,2.211267605633803,5.23943661971831,6.056338028169014
214,Cliff Robinson,2001,Professional,14.575,2.525,4.825,5.675
215,Brent Barry,2001,Professional,14.37037037037037,5.2592592592592595,5.444444444444445,4.950617283950617
216,Jason Richardson,2001,Professional,14.3875,2.95,4.25,5.8
217,Kurt Thomas,2001,Professional,13.939024390243903,1.0609756097560976,9.109756097560975,5.646341463414634
218,Shane Battier,2001,Professional,14.423076923076923,2.769230769230769,5.371794871794871,5.282051282051282
219,Antonio Davis,2001,Professional,14.454545454545455,2.012987012987013,9.61038961038961,5.324675324675325
220,John Stockton,2001,Professional,13.439024390243903,8.21951219512195,3.1951219512195124,4.890243902439025
221,Kerry Kittles,2001,Professional,13.439024390243903,2.6341463414634148,3.3536585365853657,5.341463414634147
222,Mike Bibby,2001,Professional,13.725,5.0375,2.775,5.575
223,Kenyon Martin,2001,Professional,14.876712328767123,2.6301369863013697,5.315068493150685,6.095890410958904
224,Quentin Richardson,2001,Professional,13.283950617283951,1.5802469135802468,4.1234567901234565,4.938271604938271
225,Elden Campbell,2001,Professional,13.948051948051948,1.3246753246753247,6.883116883116883,4.987012987012987
226,Corliss Williamson,2001,Professional,13.628205128205128,1.205128205128205,4.102564102564102,5.269230769230769
227,Raef LaFrentz,2001,Professional,13.474358974358974,1.141025641025641,7.423076923076923,5.397435897435898
228,Brad Miller,2001,Professional,13.578947368421053,2.0,8.171052631578947,4.815789473684211
229,Chauncey Billups,2001,Professional,12.524390243902438,5.487804878048781,2.7560975609756095,4.2439024390243905
230,Damon Stoudamire,2001,Professional,13.546666666666667,6.533333333333333,3.8933333333333335,4.92
231,Darrell Armstrong,2001,Professional,12.378048780487806,5.524390243902439,3.8902439024390243,4.2317073170731705
232,Kenny Thomas,2001,Professional,14.097222222222221,1.9027777777777777,7.166666666666667,5.5
233,Doug Christie,2001,Professional,12.0,4.197530864197531,4.617283950617284,4.172839506172839
234,Alvin Williams,2001,Professional,11.841463414634147,5.7073170731707314,3.426829268292683,4.914634146341464
235,Ricky Davis,2001,Professional,11.695121951219512,2.1707317073170733,2.9634146341463414,4.585365853658536
236,Matt Harpring,2001,Professional,11.82716049382716,1.3209876543209877,7.074074074074074,4.765432098765432
237,Chucky Atkins,2001,Professional,12.113924050632912,3.3164556962025316,2.0,4.658227848101266
238,David Robinson,2001,Professional,12.192307692307692,1.205128205128205,8.294871794871796,4.371794871794871
239,David Wesley,2001,Professional,14.194029850746269,3.5223880597014925,2.1343283582089554,5.432835820895522
240,Troy Hudson,2001,Professional,11.728395061728396,3.1481481481481484,1.7901234567901234,4.37037037037037
241,Marcus Fizer,2001,Professional,12.31578947368421,1.5921052631578947,5.618421052631579,4.868421052631579
242,Desmond Mason,2001,Professional,12.413333333333334,1.3866666666666667,4.68,4.76
243,Dikembe Mutombo,2001,Professional,11.5,1.0375,10.7875,4.0125
244,Rodney Rogers,2001,Professional,11.909090909090908,1.4415584415584415,4.51948051948052,4.623376623376624
245,Keon Clark,2001,Professional,11.296296296296296,1.0864197530864197,7.444444444444445,4.691358024691358
246,Bobby Jackson,2001,Professional,11.061728395061728,2.0246913580246915,3.0987654320987654,4.1234567901234565
247,Larry Hughes,2001,Professional,12.26027397260274,4.328767123287672,3.356164383561644,4.698630136986301
248,Steve Smith,2001,Professional,11.623376623376624,1.9610389610389611,2.5064935064935066,4.025974025974026
249,Michael Olowokandi,2001,Professional,11.0625,1.125,8.8875,4.8
250,Pat Garrity,2001,Professional,11.0625,1.2375,4.225,4.0875
251,Tim Thomas,2001,Professional,11.743243243243244,1.4189189189189189,4.054054054054054,4.27027027027027
252,Danny Fortson,2001,Professional,11.220779220779221,1.6623376623376624,11.675324675324676,4.012987012987013
253,Lee Nailon,2001,Professional,10.772151898734178,1.1898734177215189,3.6835443037974684,4.670886075949367
254,Ruben Patterson,2001,Professional,11.186666666666667,1.4266666666666667,3.973333333333333,4.253333333333333
255,Chris Whitney,2001,Professional,10.158536585365853,3.8292682926829267,1.853658536585366,3.341463414634146
256,Voshon Lenard,2001,Professional,11.450704225352112,1.8309859154929577,2.5774647887323945,4.436619718309859
257,Nazr Mohammed,2001,Professional,9.695121951219512,0.4024390243902439,7.939024390243903,4.012195121951219
258,Rod Strickland,2001,Professional,10.447368421052632,6.092105263157895,3.0526315789473686,4.157894736842105
259,Anthony Mason,2001,Professional,9.597560975609756,4.219512195121951,7.878048780487805,3.8536585365853657
260,Derek Fisher,2001,Professional,11.228571428571428,2.585714285714286,2.085714285714286,3.914285714285714
261,James Posey,2001,Professional,10.712328767123287,2.4657534246575343,5.876712328767123,3.7945205479452055
262,Bob Sura,2001,Professional,9.974358974358974,3.5256410256410255,3.282051282051282,3.2051282051282053
263,Malik Rose,2001,Professional,9.414634146341463,0.7439024390243902,6.0,3.573170731707317
264,Joe Smith,2001,Professional,10.652777777777779,1.1388888888888888,6.291666666666667,4.125
265,Derek Anderson,2001,Professional,10.814285714285715,3.085714285714286,2.7,3.5285714285714285
266,Antonio Daniels,2001,Professional,9.182926829268293,2.7804878048780486,2.1463414634146343,3.2804878048780486
267,Jamaal Tinsley,2001,Professional,9.3875,8.0875,3.725,3.6125
268,Richard Jefferson,2001,Professional,9.39240506329114,1.7721518987341771,3.7088607594936707,3.4177215189873418
269,Dale Davis,2001,Professional,9.5,1.2307692307692308,8.820512820512821,3.7948717948717947
270,Jon Barry,2001,Professional,9.012195121951219,3.3292682926829267,2.8292682926829267,3.1097560975609757
271,Anthony Peeler,2001,Professional,8.987804878048781,2.158536585365854,2.5121951219512195,3.5121951219512195
272,Kenny Anderson,2001,Professional,9.618421052631579,5.302631578947368,3.6184210526315788,4.105263157894737
273,Jamaal Magloire,2001,Professional,8.524390243902438,0.3780487804878049,5.609756097560975,2.7804878048780486
274,Mark Jackson,2001,Professional,8.365853658536585,7.378048780487805,3.768292682926829,3.1707317073170733
275,Trenton Hassell,2001,Professional,8.756410256410257,2.1923076923076925,3.269230769230769,3.4358974358974357
276,Lucious Harris,2001,Professional,9.121621621621621,1.5675675675675675,2.7972972972972974,3.364864864864865
277,Brian Grant,2001,Professional,9.347222222222221,1.9027777777777777,7.986111111111111,3.9722222222222223
278,Jumaine Jones,2001,Professional,8.283950617283951,1.4320987654320987,6.049382716049383,3.54320987654321
279,P.J. Brown,2001,Professional,8.3625,1.3375,9.825,3.125
280,Moochie Norris,2001,Professional,8.109756097560975,4.914634146341464,3.0,3.0609756097560976
281,Rick Fox,2001,Professional,7.865853658536586,3.451219512195122,4.7439024390243905,3.1097560975609757
282,Eddie Griffin,2001,Professional,8.794520547945206,0.726027397260274,5.698630136986301,3.3424657534246576
